County;TotPrecincts;PrecinctsReporting;Bush;Kerry;Nader;
Melrose;14;14;5589;9300;0;
Mendon;1;1;1576;1422;0;
Merrimac;1;1;1567;1792;0;
Methuen;12;12;9034;9997;0;
Middleborough;6;6;5123;4783;0;
Middlefield;1;1;115;178;0;
Middleton;2;2;1936;1832;0;
Milford;7;7;4774;7008;0;
Millbury;4;4;2713;3410;0;
Millis;3;3;1924;2407;0;
Millville;1;1;688;718;0;
Milton;11;11;5452;9179;0;
Monroe;1;1;21;40;0;
Monson;3;3;1773;2237;0;
Montague;6;6;1136;2905;0;
Monterey;1;1;120;414;0;
Montgomery;1;1;249;213;0;
Mount Washington;1;1;25;76;0;
Nahant;1;1;819;1394;0;
Nantucket;1;1;2040;3601;0;
Natick;10;10;6000;10846;0;
Needham;10;10;5832;10722;0;
New Ashford;1;1;53;92;0;
New Bedford;42;42;7325;25546;0;
New Braintree;1;1;243;263;0;
New Marlborough;1;1;256;533;0;
New Salem;1;1;221;359;0;
Newbury;2;2;1862;2155;0;
Newburyport;7;7;3680;6488;0;
Newton;31;31;9943;31846;0;
Norfolk;4;4;2626;2281;0;
North Adams;5;5;1440;4444;0;
North Andover;8;8;6854;6715;0;
North Attleborough;9;9;6473;6779;0;
North Brookfield;1;1;1186;1009;0;
North Reading;4;4;3881;3904;0;
Northampton;14;14;2790;12176;0;
Northborough;4;4;3350;4226;0;
Northbridge;4;4;3455;3330;0;
Northfield;1;1;581;1126;0;
Norton;5;5;3763;4228;0;
Norwell;3;3;3054;2847;0;
Norwood;9;9;5544;8114;0;
Oak Bluffs;1;1;697;1761;0;
Oakham;1;1;500;493;0;
Orange;2;2;1533;1581;0;
Orleans;2;2;2055;2406;0;
Otis;1;1;320;422;0;
Oxford;4;4;2814;3297;0;
Palmer;4;4;2428;3538;0;
Paxton;1;1;1166;1271;0;
Peabody;18;18;9528;15243;0;
Pelham;1;1;151;689;0;
Pembroke;5;5;4234;4637;0;
Pepperell;3;3;2930;2884;0;
Peru;1;1;148;252;0;
Petersham;1;1;336;439;0;
Phillipston;1;1;427;396;0;
Pittsfield;14;14;4954;15144;0;
Plainfield;1;1;105;256;0;
Plainville;2;2;1887;2008;0;
