   County Total Precincts Precincts Reporting Bush Kerry Nader
   Fayette 1 1 291 402 12
   Fort Fairfield 1 1 858 983 15
   Fort Kent 1 1 624 1,655 27
   Frankfort 1 1 282 289 3
   Franklin 1 1 425 345 10
   Freedom 1 1 178 216 7
   Freeman Twp 1 1 49 40 1
   Freeport 1 1 1,906 3,007 64
   Frenchboro 1 1 24 20 0
   Frenchville 1 1 156 511 3
   Friendship 1 1 461 301 11
   Frye Island 1 1 55 29 0
   Fryeburg 1 1 836 873 17
   Gardiner 4 4 1,483 1,716 46
   Garfield Plt. 1 1 32 29 0
   Garland 1 1 321 236 14
   Georgetown 1 1 340 438 4
   Gilead 1 1 45 60 2
   Glenburn 1 1 1,296 1,047 17
   Glenwood Plt. 1 1 2 0 0
   Gorham 4 4 4,133 4,393 72
   Gouldsboro 1 1 552 533 13
   Grand Isle 1 1 45 257 5
   Grand Lake Stream Plt 1 1 54 33 1
   Gray 1 1 2,108 2,102 51
   Great Pond 1 1 17 12 3
   Greenbush 1 1 392 296 8
   Greene 1 1 1,248 1,137 25
   Greenville 1 1 638 514 22
   Greenville Twps 1 1 0 0 0
   Greenwood 1 1 186 239 6
   Guilford 1 1 458 354 16
   Hallowell 5 5 562 1,131 19
   Hamlin 1 1 39 84 1
   Hammond 1 1 30 18 1
   Hampden 1 1 2,247 1,933 38
   Hancock 1 1 623 593 11
   Hanover 1 1 94 78 3
   Harmony 1 1 209 233 3
   Harpswell 3 3 1,583 2,004 43
   Harrington 1 1 287 247 6
   Harrison 1 1 762 717 25
   Hartford 1 1 308 282 4
   Hartland 1 1 534 347 13
   Haynesville 1 1 41 18 0
   Hebron 1 1 317 308 10
   Hermon 1 1 1,636 1,114 34
   Hersey 1 1 24 8 0
   Highland Plt. 1 1 77 56 6
   Hiram 2 2 559 648 16
   Hodgdon 1 1 441 212 4
   Holden 1 1 1,119 856 12
   Hollis 1 1 1,154 1,170 24
   Hope 1 1 439 456 13
   Houlton 1 1 1,696 1,189 31
   Howland 1 1 353 382 6
   Hudson 1 1 448 273 6
   Indian Purchase T3&T4Twp 1 1 21 23 2
   Indian Township Vtng Dst 1 1 38 240 0
   Industry 1 1 240 264 3
   Island Falls 1 1 264 184 7
   Isle Au Haut 1 1 14 37 1
   Islesboro 1 1 151 318 6
   Jackman 1 1 280 234 6
   Jackson 1 1 141 135 5
   Jay 1 1 974 1,790 31
   Jefferson 1 1 808 677 14
   Jonesboro 1 1 180 135 10
   Jonesport 1 1 310 347 6
   Kenduskeag 1 1 357 319 9
   Kennebunk 1 1 3,328 3,709 71
   Kennebunkport 1 1 1,360 1,308 27
   Kingfield 1 1 405 383 12
   Kingman Twp. 1 1 58 22 2
   Kingsbury Plt. 1 1 8 5 0
   Kittery 1 1 1,901 3,176 36
   Knox 1 1 252 172 7
   LaGrange 1 1 175 162 6
   Lake View Plt. 1 1 46 30 1
   Lakeville 1 1 37 47 1
   Lamoine 1 1 514 520 13
   Lebanon 1 1 1,552 1,237 28
   Lee 1 1 313 186 3
   Leeds 1 1 540 582 22
   Levant 1 1 822 431 9
   Lewiston 8 8 6,460 10,867 191
   Liberty 1 1 265 295 6
   Limerick 1 1 711 711 20
   Limestone 1 1 441 574 14
   Limington 1 1 1,063 857 23
   Lincoln 1 1 1,461 1,082 31
   Lincoln Plt. 1 1 22 8 0
   Lincolnville 1 1 629 797 20
   Linneus 1 1 323 111 2
   Lisbon 2 2 2,374 2,372 65
   Litchfield 1 1 969 913 23
   Littleton 1 1 543 139 5
   Livermore 1 1 555 720 17
   Livermore Falls 1 1 577 906 15
   Long Island 1 1 74 128 4
   Lovell 1 1 367 333 7
   Lowell 1 1 111 83 0
   Lubec 1 1 343 572 2
   Ludlow 1 1 124 83 0
   Lyman 1 1 1,105 1,174 32
   Machias 1 1 506 558 16
   Machiasport 1 1 250 213 6
   Macwahoc Plt. 1 1 25 33 0
   Madawaska 1 1 552 1,601 24
   Madawaska Lake Twp. 1 1 46 50 1
   Madison 1 1 1,063 1,303 22
   Madrid Twp 1 1 41 63 2
   Magalloway Plt. 1 1 14 4 0
   Manchester 1 1 803 798 15
   Mapleton 1 1 594 458 12
   Mariaville 1 1 144 93 2
   Mars Hill 1 1 587 237 9
   Marshfield 1 1 174 101 1
   Masardis 1 1 74 73 2
   Matinicus Isle Plt. 1 1 21 33 1
   Mattawamkeag 1 1 230 204 7
   Maxfield 1 1 31 23 2
   Mechanic Falls 1 1 820 702 20
   Meddybemps 1 1 57 41 0
   Medford 1 1 89 40 2
   Medway 1 1 480 312 1
   Mercer 1 1 181 205 6
   Merrill 1 1 68 62 2
   Mexico 1 1 467 962 31
   Milbridge 1 1 369 357 5
   Milford 1 1 675 944 21
   Millinocket 1 1 1,188 1,647 0
   Milo 1 1 616 628 19
   Milton Twp. 1 1 36 50 1
   Minot 1 1 789 637 18
   Monhegan Plt. 1 1 12 55 6
   Monmouth 2 2 1,105 1,075 23
   Monroe 1 1 237 285 5
   Monson 1 1 225 239 5
   Monticello 1 1 286 163 3
   Montville 1 1 223 353 15
   Moose River 1 1 87 41 0
   Moro Plt. 1 1 28 1 2
   Morrill 1 1 288 204 4
   Moscow 1 1 126 137 2
   Mount Chase 1 1 101 29 2
   Mount Desert 1 1 533 950 20
   Mount Vernon 1 1 417 513 9
   Naples 1 1 1,093 979 30
