"Obama" "Clinton"
"Solano, CA" 23706 25956
"Sonoma, CA" 44020 40709
"Stanislaus, CA" 15106 28119
"Sutter, CA" 2289 3537
"Tehama, CA" 1691 2735
"Trinity, CA" 904 772
"Tulare, CA" 6795 13553
"Tuolumne, CA" 3296 4101
"Ventura, CA" 42439 56145
"Yolo, CA" 14561 13873
"Yuba, CA" 1577 2282
"Adams, CO" 2792 2542
"Alamosa, CO" 166 72
"Arapahoe, CO" 7990 4175
"Archuleta, CO" 184 56
"Baca, CO" 12 28
"Bent, CO" 32 32
"Boulder, CO" 13100 4426
"Broomfield, CO" 817 420
"Chaffee, CO" 309 140
"Cheyenne, CO" 7 12
"Clear Creek, CO" 232 95
"Conejos, CO" 83 87
"Costilla, CO" 46 72
"Crowley, CO" 49 30
"Custer, CO" 45 20
"Delta, CO" 297 114
"Denver, CO" 17942 7806
"Dolores, CO" 33 14
"Douglas, CO" 3326 1960
"Eagle, CO" 414 150
"Elbert, CO" 104 68
"El Paso, CO" 5455 2298
"Fremont, CO" 336 319
"Garfield, CO" 675 249
"Gilpin, CO" 166 64
"Grand, CO" 188 104
"Gunnison, CO" 230 84
"Hinsdale, CO" 23 7
"Huerfano, CO" 126 67
"Jackson, CO" 8 12
"Jefferson, CO" 9101 5208
"Kiowa, CO" 8 11
"Kit Carson, CO" 22 52
"Lake, CO" 101 36
"La Plata, CO" 1170 285
"Larimer, CO" 6192 2403
"Las Animas, CO" 122 181
"Lincoln, CO" 31 23
"Logan, CO" 58 76
"Mesa, CO" 1284 831
"Mineral, CO" 22 16
"Moffat, CO" 62 32
"Montezuma, CO" 307 137
"Montrose, CO" 259 147
"Morgan, CO" 90 98
"Otero, CO" 116 110
"Ouray, CO" 165 37
"Park, CO" 210 94
"Phillips, CO" 27 26
"Pitkin, CO" 431 124
"Prowers, CO" 40 59
"Pueblo, CO" 1035 1413
"Rio Blanco, CO" 38 15
"Rio Grande, CO" 61 38
"Routt, CO" 428 148
"Saguache, CO" 80 87
"San Juan, CO" 18 8
"San Miguel, CO" 333 52
"Sedgwick, CO" 7 14
"Summit, CO" 365 221
"Teller, CO" 230 105
"Washington, CO" 18 11
"Weld, CO" 1660 920
"Yuma, CO" 66 46
"Andover, CT" 172 185
"Ansonia, CT" 566 966
"Ashford, CT" 280 298
"Avon, CT" 1068 964
"Barkhamsted, CT" 216 166
"Beacon Falls, CT" 181 282
"Berlin, CT" 1005 1560
"Bethany, CT" 347 292
"Bethel, CT" 699 714
"Bethlehem, CT" 235 152
"Bloomfield, CT" 3449 1321
"Bolton, CT" 342 301
"Bozrah, CT" 135 147
"Branford, CT" 1640 1652
"Bridgeport, CT" 6528 4925
"Bridgewater, CT" 128 95
"Bristol, CT" 2588 3681
"Brookfield, CT" 512 583
"Brooklyn, CT" 270 321
"Burlington, CT" 465 391
"Canaan, CT" 124 92
"Canterbury, CT" 169 221
"Canton, CT" 681 518
"Chaplin, CT" 116 118
"Cheshire, CT" 1344 1313
"Chester, CT" 355 243
"Clinton, CT" 640 655
"Colchester, CT" 661 782
"Colebrook, CT" 93 58
"Columbia, CT" 363 409
"Cornwall, CT" 201 82
"Coventry, CT" 619 609
"Cromwell, CT" 724 863
"Danbury, CT" 2125 2373
"Darien, CT" 808 569
"Deep River, CT" 329 285
"Derby, CT" 416 795
"Durham, CT" 376 332
"Eastford, CT" 90 80
"East Granby, CT" 262 253
"East Haddam, CT" 516 475
"East Hampton, CT" 657 604
"East Hartford, CT" 2736 2708
"East Haven, CT" 644 1602
"East Lyme, CT" 930 996
"Easton, CT" 374 305
"East Windsor, CT" 474 488
"Ellington, CT" 544 508
"Enfield, CT" 1733 2162
"Essex, CT" 549 371
"Fairfield, CT" 2838 2540
"Farmington, CT" 1504 1351
"Franklin, CT" 75 84
"Glastonbury, CT" 2424 1811
"Goshen, CT" 151 127
"Granby, CT" 689 507
"Greenwich, CT" 2643 2254
"Griswold, CT" 422 671
"Groton, CT" 1403 1285
"Guilford, CT" 1796 1219
"Haddam, CT" 508 447
"Hamden, CT" 5092 3664
"Hampton, CT" 129 134
"Hartford, CT" 7904 4562
"Hartland, CT" 95 73
"Harwinton, CT" 258 251
"Hebron, CT" 538 487
"Kent, CT" 296 178
"Killingly, CT" 384 598
"Killingworth, CT" 345 325
"Lebanon, CT" 302 365
"Ledyard, CT" 613 512
"Lisbon, CT" 151 256
"Litchfield, CT" 511 347
"Lyme, CT" 212 103
"Madison, CT" 1089 847
"Manchester, CT" 3025 2810
"Mansfield, CT" 1656 1037
"Marlborough, CT" 428 381
"Meriden, CT" 2040 2294
"Middlebury, CT" 295 318
"Middlefield, CT" 243 281
"Middletown, CT" 3401 2744
"Milford, CT" 1715 2342
"Monroe, CT" 589 662
"Montville, CT" 559 788
"Morris, CT" 111 91
"Naugatuck, CT" 957 1309
"New Britain, CT" 2838 3716
"New Canaan, CT" 966 580
"New Fairfield, CT" 387 447
"New Hartford, CT" 376 288
"New Haven, CT" 12372 6030
"Newington, CT" 1694 2447
"New London, CT" 1247 949
"New Milford, CT" 913 1014
"Newtown, CT" 1245 1098
"Norfolk, CT" 162 88
"North Branford, CT" 489 600
"North Canaan, CT" 124 92
"North Haven, CT" 993 1144
"North Stonington, CT" 236 236
"Norwalk, CT" 4081 2953
"Norwich, CT" 1356 1706
"Old Lyme, CT" 527 414
"Old Saybrook, CT" 540 566
"Orange, CT" 545 651
"Oxford, CT" 287 396
"Plainfield, CT" 421 748
"Plainville, CT" 701 1100
"Plymouth, CT" 306 463
"Pomfret, CT" 274 175
"Portland, CT" 563 542
"Preston, CT" 144 209
"Prospect, CT" 272 338
"Putnam, CT" 325 409
"Redding, CT" 717 434
"Ridgefield, CT" 1493 1149
"Rocky Hill, CT" 977 1399
"Roxbury, CT" 179 108
"Salem, CT" 222 217
"Salisbury, CT" 467 206
"Scotland, CT" 97 74
"Seymour, CT" 344 554
"Sharon, CT" 259 137
"Shelton, CT" 994 1356
"Sherman, CT" 183 156
"Simsbury, CT" 1684 1174
"Somers, CT" 370 350
"Southbury, CT" 812 944
"Southington, CT" 1617 2406
"South Windsor, CT" 1534 1645
"Sprague, CT" 148 183
"Stafford, CT" 589 721
"Stamford, CT" 6122 6094
"Sterling, CT" 58 93
"Stonington, CT" 1103 963
"Stratford, CT" 2034 2085
"Suffield, CT" 575 580
"Thomaston, CT" 255 297
"Thompson, CT" 321 516
"Tolland, CT" 760 657
"Torrington, CT" 1153 1374
"Trumbull, CT" 1351 1537
"Union, CT" 58 34
"Vernon, CT" 1227 1276
"Voluntown, CT" 102 117
"Wallingford, CT" 1702 2206
"Warren, CT" 80 46
"Washington, CT" 290 164
"Waterbury, CT" 3883 3472
"Waterford, CT" 872 1050
"Watertown, CT" 723 829
"Westbrook, CT" 265 296
"West Hartford, CT" 5749 4696
"West Haven, CT" 2482 2540
"Weston, CT" 794 652
"Westport, CT" 2288 1851
"Wethersfield, CT" 1717 2079
"Willington, CT" 289 264
"Wilton, CT" 1126 783
"Winchester, CT" 344 358
"Windham, CT" 863 1057
"Windsor, CT" 3134 1619
"Windsor Locks, CT" 515 591
"Wolcott, CT" 500 644
"Woodbridge, CT" 707 686
"Woodbury, CT" 539 418
"Woodstock, CT" 428 375
"Kent, DE" 6735 5533
"New Castle, DE" 37795 26564
"Sussex, DE" 6594 8654
"District of Columbia, DC" 85534 27326
"Alachua, FL" 14638 11681
"Baker, FL" 507 833
"Bay, FL" 4349 5636
"Bradford, FL" 913 1081
"Brevard, FL" 18395 31675
"Broward, FL" 61145 106933
"Calhoun, FL" 407 875
"Charlotte, FL" 3130 9236
"Citrus, FL" 3760 9718
"Clay, FL" 3627 4834
"Collier, FL" 5119 9759
"Columbia, FL" 1825 2562
"DeSoto, FL" 615 1261
"Dixie, FL" 300 873
"Duval, FL" 40830 27238
"Escambia, FL" 13031 9996
"Flagler, FL" 3022 5235
"Franklin, FL" 545 889
"Gadsden, FL" 5287 2456
"Gilchrist, FL" 365 852
"Glades, FL" 238 646
"Gulf, FL" 495 731
"Hamilton, FL" 645 568
"Hardee, FL" 363 830
"Hendry, FL" 740 1105
"Hernando, FL" 4496 12495
"Highlands, FL" 2055 4972
"Hillsborough, FL" 36151 42993
"Holmes, FL" 299 835
"Indian River, FL" 3116 5751
"Jackson, FL" 2372 2308
"Jefferson, FL" 1285 918
"Lafayette, FL" 140 404
"Lake, FL" 6784 14939
"Lee, FL" 10883 23788
"Leon, FL" 21082 14540
"Levy, FL" 1230 2235
"Liberty, FL" 170 397
"Madison, FL" 1193 1083
"Manatee, FL" 8455 14369
"Marion, FL" 9719 17980
"Martin, FL" 3505 6457
"Miami-Dade, FL" 70012 90846
"Monroe, FL" 2478 4176
"Nassau, FL" 1900 2577
"Okaloosa, FL" 3642 3806
"Okeechobee, FL" 610 2024
"Orange, FL" 34452 42602
"Osceola, FL" 4470 11113
"Palm Beach, FL" 38301 82475
"Pasco, FL" 9091 23440
"Pinellas, FL" 30944 48393
"Polk, FL" 12990 24443
"Putnam, FL" 2546 4057
"Santa Rosa, FL" 2497 3725
"Sarasota, FL" 12545 21604
"Seminole, FL" 11631 16545
"St. Johns, FL" 5301 6948
"St. Lucie, FL" 8076 14817
"Sumter, FL" 2151 5598
"Suwannee, FL" 1051 1693
"Taylor, FL" 682 1181
"Union, FL" 263 447
"Volusia, FL" 13353 26635
"Wakulla, FL" 1127 1713
"Walton, FL" 1021 1567
"Washington, FL" 681 816
"Appling, GA" 561 671
"Atkinson, GA" 241 235
"Bacon, GA" 190 358
"Baker, GA" 317 199
"Baldwin, GA" 3547 1470
"Banks, GA" 232 693
"Barrow, GA" 1948 1667
"Bartow, GA" 2887 3472
"Ben Hill, GA" 852 554
"Berrien, GA" 421 654
"Bibb, GA" 16678 5083
"Bleckley, GA" 430 398
"Brantley, GA" 181 510
"Brooks, GA" 723 423
"Bryan, GA" 1077 984
"Bulloch, GA" 2668 1761
"Burke, GA" 1956 717
"Butts, GA" 1169 761
"Calhoun, GA" 545 207
"Camden, GA" 1894 1138
"Candler, GA" 394 313
"Carroll, GA" 4547 3883
"Catoosa, GA" 952 3106
"Charlton, GA" 341 270
"Chatham, GA" 26142 9033
"Chattahoochee, GA" 233 159
"Chattooga, GA" 574 1402
"Cherokee, GA" 6651 5888
"Clarke, GA" 10663 4257
"Clay, GA" 282 157
"Clayton, GA" 36306 7456
"Clinch, GA" 214 208
"Cobb, GA" 55574 23714
"Coffee, GA" 1281 1047
"Colquitt, GA" 1204 1241
"Columbia, GA" 5402 3568
"Cook, GA" 616 500
"Coweta, GA" 5449 3618
"Crawford, GA" 705 537
"Crisp, GA" 955 563
"Dade, GA" 226 909
"Dawson, GA" 439 735
"Decatur, GA" 1466 804
"DeKalb, GA" 113192 34077
"Dodge, GA" 746 804
"Dooly, GA" 794 338
"Dougherty, GA" 11227 3323
"Douglas, GA" 11503 4007
"Early, GA" 680 406
"Echols, GA" 49 80
"Effingham, GA" 1759 1974
"Elbert, GA" 901 961
"Emanuel, GA" 1000 773
"Evans, GA" 480 413
"Fannin, GA" 504 1264
"Fayette, GA" 9222 4171
"Floyd, GA" 3433 3858
"Forsyth, GA" 4537 4551
"Franklin, GA" 370 1093
"Fulton, GA" 106692 34290
"Gilmer, GA" 584 1366
"Glascock, GA" 40 138
"Glynn, GA" 3618 2067
"Gordon, GA" 829 2269
"Grady, GA" 1032 791
"Greene, GA" 1243 518
"Gwinnett, GA" 46890 20703
"Habersham, GA" 773 1394
"Hall, GA" 4268 4062
"Hancock, GA" 1288 263
"Haralson, GA" 454 1501
"Harris, GA" 1478 1224
"Hart, GA" 899 1332
"Heard, GA" 316 600
"Henry, GA" 16692 5817
"Houston, GA" 8105 3609
"Irwin, GA" 381 404
"Jackson, GA" 1493 1987
"Jasper, GA" 715 509
"Jeff Davis, GA" 387 533
"Jefferson, GA" 1598 624
"Jenkins, GA" 548 306
"Johnson, GA" 384 321
"Jones, GA" 1988 1174
"Lamar, GA" 1013 762
"Lanier, GA" 297 282
"Laurens, GA" 2848 1726
"Lee, GA" 1146 923
"Liberty, GA" 3534 1148
"Lincoln, GA" 595 409
"Long, GA" 293 298
"Lowndes, GA" 5166 2303
"Lumpkin, GA" 703 1249
"Macon, GA" 1277 440
"Madison, GA" 896 1059
"Marion, GA" 516 366
"McDuffie, GA" 1485 723
"McIntosh, GA" 1198 568
"Meriwether, GA" 1679 993
"Miller, GA" 162 310
"Mitchell, GA" 1497 789
"Monroe, GA" 1634 906
"Montgomery, GA" 380 311
"Morgan, GA" 1236 671
"Murray, GA" 318 1847
"Muscogee, GA" 16911 6677
"Newton, GA" 8313 2851
"Oconee, GA" 1816 1358
"Oglethorpe, GA" 747 585
"Paulding, GA" 6094 3876
"Peach, GA" 2075 727
"Pickens, GA" 647 1419
"Pierce, GA" 252 477
"Pike, GA" 607 639
"Polk, GA" 1207 2063
"Pulaski, GA" 427 336
"Putnam, GA" 1145 827
"Quitman, GA" 239 109
"Rabun, GA" 503 963
"Randolph, GA" 726 265
"Richmond, GA" 20377 6099
"Rockdale, GA" 9180 2807
"Schley, GA" 155 165
"Screven, GA" 1137 542
"Seminole, GA" 469 416
"Spalding, GA" 3572 2048
"Stephens, GA" 644 1185
"Stewart, GA" 462 237
"Sumter, GA" 2402 1001
"Talbot, GA" 878 314
"Taliaferro, GA" 252 109
"Tattnall, GA" 594 614
"Taylor, GA" 555 330
"Telfair, GA" 551 484
"Terrell, GA" 876 372
"Thomas, GA" 2437 1265
"Tift, GA" 1300 1164
"Toombs, GA" 833 805
"Towns, GA" 311 718
"Treutlen, GA" 376 286
"Troup, GA" 3552 2014
"Turner, GA" 425 329
"Twiggs, GA" 1054 497
"Union, GA" 740 1483
"Upson, GA" 1540 999
"Walker, GA" 1118 3306
"Walton, GA" 2774 2298
"Ware, GA" 1166 969
"Warren, GA" 563 252
"Washington, GA" 1733 762
"Wayne, GA" 721 1117
"Webster, GA" 280 136
"Wheeler, GA" 254 188
"White, GA" 626 1042
"Whitfield, GA" 1636 3428
"Wilcox, GA" 287 260
"Wilkes, GA" 843 429
"Wilkinson, GA" 1061 389
"Worth, GA" 825 797
"Hawaii, HI" 5174 1636
"Honolulu, HI" 16854 5426
"Kauai, HI" 2030 583
"Maui, HI" 4289 1190
"Ada, ID" 7137 932
"Adams, ID" 64 22
"Bannock, ID" 986 309
"Bear Lake, ID" 18 13
"Benewah, ID" 41 17
"Bingham, ID" 129 46
"Blaine, ID" 984 178
"Boise, ID" 59 14
"Bonner, ID" 453 102
"Bonneville, ID" 739 201
"Boundary, ID" 106 36
"Butte, ID" 26 10
"Camas, ID" 7 4
"Canyon, ID" 1248 347
"Caribou, ID" 17 6
"Cassia, ID" 48 25
"Clark, ID" 6 0
"Clearwater, ID" 57 27
"Custer, ID" 42 8
"Elmore, ID" 170 40
"Franklin, ID" 34 20
"Fremont, ID" 47 13
"Gem, ID" 200 59
"Gooding, ID" 48 15
"Idaho County, ID" 121 43
"Jefferson, ID" 62 29
"Jerome, ID" 62 47
"Kootenai, ID" 1015 241
"Latah, ID" 920 178
"Lemhi, ID" 73 30
"Lewis, ID" 7 10
"Lincoln, ID" 21 17
"Madison, ID" 173 39
"Minidoka, ID" 58 32
"Nez Perce, ID" 333 111
"Oneida, ID" 12 7
"Owyhee, ID" 42 10
"Payette, ID" 160 57
"Power, ID" 68 19
"Shoshone, ID" 47 35
"Teton, ID" 212 54
"Twin Falls, ID" 564 175
"Valley, ID" 196 34
"Washington, ID" 68 43
"Adams, IL" 3708 2529
"Alexander, IL" 1097 725
"Bond, IL" 919 914
"Boone, IL" 2650 2042
"Brown, IL" 311 246
"Bureau, IL" 2429 1486
"Calhoun, IL" 446 605
"Carroll, IL" 1157 586
"Cass, IL" 679 497
"Champaign, IL" 16992 5501
"Christian, IL" 3050 2018
"Clark, IL" 918 913
"Clay, IL" 973 901
"Clinton, IL" 1710 1571
"Coles, IL" 3113 1867
"Cook (Chicago), IL" 457993 159308
"Cook (Suburbs), IL" 270335 149613
"Crawford, IL" 1049 888
"Cumberland, IL" 619 522
"DeKalb, IL" 8580 3892
"DeWitt, IL" 990 670
"Douglas, IL" 1063 615
"DuPage, IL" 80690 48499
"Edgar, IL" 821 620
"Edwards, IL" 296 254
"Effingham, IL" 1889 1299
"Fayette, IL" 1093 1059
"Ford, IL" 538 396
"Franklin, IL" 3461 4170
"Fulton, IL" 3600 2517
"Gallatin, IL" 697 894
"Greene, IL" 797 690
"Grundy, IL" 2994 2586
"Hamilton, IL" 805 963
"Hancock, IL" 1338 905
"Hardin, IL" 322 524
"Henderson, IL" 641 427
"Henry, IL" 3573 2169
"Iroquois, IL" 988 756
"Jackson, IL" 4949 2707
"Jasper, IL" 796 551
"Jefferson, IL" 3102 3286
"Jersey, IL" 1305 1287
"JoDaviess, IL" 1723 800
"Johnson, IL" 518 689
"Kane, IL" 33164 18409
"Kankakee, IL" 6919 4027
"Kendall, IL" 6371 3831
"Knox, IL" 4527 2563
"Lake, IL" 57631 33068
"LaSalle, IL" 7220 6172
"Lawrence, IL" 714 769
"Lee, IL" 2025 1360
"Livingston, IL" 1501 1092
"Logan, IL" 1193 763
"Macon, IL" 8991 5562
"Macoupin, IL" 3823 2972
"Madison, IL" 20265 18215
"Marion, IL" 2852 2727
"Marshall, IL" 816 525
"Mason, IL" 1393 844
"Massac, IL" 819 1002
