"Obama" "Clinton"
"Congressional District 2, KS" 6128 2445
"Congressional District 3, KS" 12604 3610
"Congressional District 4, KS" 6036 2405
"Acadia, LA" 1957 2030
"Allen, LA" 757 978
"Ascension, LA" 3725 2793
"Assumption, LA" 1178 899
"Avoyelles, LA" 1471 1499
"Beauregard, LA" 732 1202
"Bienville, LA" 963 642
"Bossier, LA" 2615 2568
"Caddo, LA" 14600 7518
"Calcasieu, LA" 8179 7282
"Caldwell, LA" 313 441
"Cameron, LA" 118 445
"Catahoula, LA" 367 418
"Claiborne, LA" 726 441
"Concordia, LA" 1555 914
"DeSoto, LA" 1327 858
"East Baton Rouge, LA" 37230 16254
"East Carroll, LA" 491 222
"East Feliciana, LA" 1424 879
"Evangeline, LA" 1370 1189
"Franklin, LA" 766 702
"Grant, LA" 316 609
"Iberia, LA" 3719 1674
"Iberville, LA" 2954 1178
"Jackson, LA" 752 526
"Jeff Davis, LA" 954 1183
"Jefferson, LA" 15738 12913
"Lafayette, LA" 8378 4888
"Lafourche, LA" 1716 3654
"LaSalle, LA" 178 418
"Lincoln, LA" 1788 989
"Livingston, LA" 1080 3279
"Madison, LA" 724 267
"Morehouse, LA" 1524 747
"Natchitoches, LA" 2628 1630
"Orleans, LA" 34267 10239
"Ouachita, LA" 7444 4323
"Plaquemines, LA" 810 499
"Pointe Coupee, LA" 1484 893
"Rapides, LA" 5145 2866
"Red River, LA" 517 369
"Richland, LA" 760 461
"Sabine, LA" 447 864
"St. Bernard, LA" 590 1134
"St. Charles, LA" 2591 1556
"St. Helena, LA" 1085 439
"St. James, LA" 2615 963
"St. John the Baptist, LA" 4109 1205
"St. Landry, LA" 6298 2791
"St. Martin, LA" 2935 1896
"St. Mary, LA" 2787 1322
"St. Tammany, LA" 5183 5397
"Tangipahoa, LA" 4249 3238
"Tensas, LA" 506 259
"Terrebonne, LA" 2839 2923
"Union, LA" 785 731
"Vermilion, LA" 1473 2238
"Vernon, LA" 762 1271
"Washington, LA" 1788 1497
"Webster, LA" 1659 1366
"West Baton Rouge, LA" 1725 883
"West Carroll, LA" 200 358
"West Feliciana, LA" 755 362
"Winn, LA" 467 487
"Allegany, MD" 1797 3301
"Anne Arundel, MD" 32959 27421
"Baltimore, MD" 68494 49044
"Baltimore City, MD" 75681 23830
"Calvert, MD" 4593 4443
"Caroline, MD" 1283 1359
"Carroll, MD" 6256 6600
"Cecil, MD" 2589 4737
"Charles, MD" 13952 6666
"Dorchester, MD" 2203 1791
"Frederick, MD" 11576 10891
"Garrett, MD" 573 927
"Harford, MD" 12581 12486
"Howard, MD" 24812 16854
"Kent, MD" 1482 1170
"Montgomery, MD" 84287 66192
"Prince George's, MD" 94741 23965
"Queen Anne's, MD" 2141 2393
"Somerset, MD" 1494 1204
"St. Mary's, MD" 5031 4832
"Talbot, MD" 2696 1786
"Washington, MD" 4309 6209
"Wicomico, MD" 5871 4164
"Worcester, MD" 3073 3175
"Abington, MA" 823 1914
"Acton, MA" 2925 2288
"Acushnet, MA" 483 1822
"Adams, MA" 527 1092
"Agawam, MA" 1392 2888
"Alford, MA" 104 53
"Amesbury, MA" 1326 1729
"Amherst, MA" 4139 1954
"Andover, MA" 3269 3138
"Aquinnah, MA" 126 51
"Arlington, MA" 6982 7154
"Ashburnham, MA" 402 636
"Ashby, MA" 249 297
"Ashfield, MA" 418 188
"Ashland, MA" 1343 1869
"Athol, MA" 533 902
"Attleboro, MA" 1967 3364
"Auburn, MA" 969 2259
"Avon, MA" 275 672
"Ayer, MA" 518 628
"Barnstable, MA" 4157 4248
"Barre, MA" 346 499
"Becket, MA" 157 170
"Bedford, MA" 1462 1535
"Belchertown, MA" 1147 1429
"Bellingham, MA" 893 1930
"Belmont, MA" 3552 3120
"Berkley, MA" 259 618
"Berlin, MA" 255 280
"Bernardston, MA" 195 241
"Beverly, MA" 3367 4346
"Billerica, MA" 2048 4700
"Blackstone, MA" 392 946
"Blandford, MA" 85 103
"Bolton, MA" 584 490
"Boston, MA" 61322 51551
"Bourne, MA" 1366 1840
"Boxborough, MA" 599 533
"Boxford, MA" 732 703
"Boylston, MA" 348 491
"Braintree, MA" 2243 5210
"Brewster, MA" 1501 1085
"Bridgewater, MA" 1257 2229
"Brimfield, MA" 250 338
"Brockton, MA" 5621 7871
"Brookfield, MA" 225 349
"Brookline, MA" 7850 6312
"Buckland, MA" 284 151
"Burlington, MA" 1564 3021
"Cambridge, MA" 17213 9416
"Canton, MA" 1624 2957
"Carlisle, MA" 818 629
"Carver, MA" 587 1270
"Charlemont, MA" 160 116
"Charlton, MA" 621 1068
"Chatham, MA" 896 645
"Chelmsford, MA" 2910 4106
"Chelsea, MA" 1010 2474
"Cheshire, MA" 218 469
"Chester, MA" 86 101
"Chesterfield, MA" 156 89
"Chicopee, MA" 2526 6634
"Chilmark, MA" 243 121
"Clarksburg, MA" 84 208
"Clinton, MA" 806 1493
"Cohasset, MA" 776 699
"Colrain, MA" 174 153
"Concord, MA" 3259 2141
"Conway, MA" 408 193
"Cummington, MA" 158 85
"Dalton, MA" 549 754
"Danvers, MA" 1751 2963
"Dartmouth, MA" 1983 4466
"Dedham, MA" 1956 3517
"Deerfield, MA" 714 640
"Dennis, MA" 1520 1878
"Dighton, MA" 313 718
"Douglas, MA" 368 679
"Dover, MA" 664 510
"Dracut, MA" 1694 3802
"Dudley, MA" 480 1131
"Dunstable, MA" 274 331
"Duxbury, MA" 1441 1437
"East Bridgewater, MA" 589 1429
"East Brookfield, MA" 102 205
"Eastham, MA" 779 709
"Easthampton, MA" 1607 2010
"East Longmeadow, MA" 970 1543
"Easton, MA" 1532 2399
"Edgartown, MA" 531 478
"Egremont, MA" 238 151
"Erving, MA" 123 146
"Essex, MA" 424 339
"Everett, MA" 1389 4480
"Fairhaven, MA" 988 2434
"Fall River, MA" 3120 12544
"Falmouth, MA" 3646 4060
"Fitchburg, MA" 1726 3573
"Florida, MA" 48 86
"Foxborough, MA" 1125 1801
"Framingham, MA" 4679 7357
"Franklin, MA" 1958 3110
"Freetown, MA" 411 1026
"Gardner, MA" 1035 1985
"Georgetown, MA" 585 797
"Gill, MA" 230 173
"Gloucester, MA" 2783 3508
"Goshen, MA" 128 103
"Gosnold, MA" 9 9
"Grafton, MA" 1081 1682
"Granby, MA" 453 700
"Granville, MA" 94 88
"Great Barrington, MA" 986 703
"Greenfield, MA" 1867 1788
"Groton, MA" 1255 941
"Groveland, MA" 476 707
"Hadley, MA" 687 594
"Halifax, MA" 475 791
"Hamilton, MA" 835 696
"Hampden, MA" 326 477
"Hancock, MA" 50 70
"Hanover, MA" 919 1616
"Hanson, MA" 500 1003
"Hardwick, MA" 179 302
"Harvard, MA" 926 595
"Harwich, MA" 1418 1312
"Hatfield, MA" 403 485
"Haverhill, MA" 3409 6478
"Hawley, MA" 34 20
"Heath, MA" 144 63
"Hingham, MA" 2357 2428
"Hinsdale, MA" 164 185
"Holbrook, MA" 624 1401
"Holden, MA" 1505 1902
"Holland, MA" 162 257
"Holliston, MA" 1452 1724
"Holyoke, MA" 2094 3791
"Hopedale, MA" 464 713
"Hopkinton, MA" 1312 1375
"Hubbardston, MA" 276 427
"Hudson, MA" 1315 2234
"Hull, MA" 839 1507
"Huntington, MA" 138 175
"Ipswich, MA" 1475 1426
"Kingston, MA" 699 1391
"Lakeville, MA" 514 924
"Lancaster, MA" 514 598
"Lanesborough, MA" 255 332
"Lawrence, MA" 2049 6376
"Lee, MA" 503 651
"Leicester, MA" 631 1297
"Lenox, MA" 762 669
"Leominster, MA" 2063 4064
"Leverett, MA" 494 190
"Lexington, MA" 5028 4538
"Leyden, MA" 134 74
"Lincoln, MA" 1150 698
"Littleton, MA" 906 973
"Longmeadow, MA" 1596 1774
"Lowell, MA" 4415 8671
"Ludlow, MA" 1089 2853
"Lunenburg, MA" 717 1004
"Lynn, MA" 3766 8770
"Lynnfield, MA" 702 1448
"Malden, MA" 3021 6084
"Manchester, MA" 797 462
"Mansfield, MA" 1469 2163
"Marblehead, MA" 2574 2615
"Marion, MA" 589 489
"Marlborough, MA" 2161 3599
"Marshfield, MA" 1844 2835
"Mashpee, MA" 1117 1433
"Mattapoisett, MA" 647 763
"Maynard, MA" 1065 1295
"Medfield, MA" 1192 1262
"Medford, MA" 4741 8043
"Medway, MA" 961 1372
"Melrose, MA" 2819 4204
"Mendon, MA" 352 570
"Merrimac, MA" 548 700
"Methuen, MA" 2168 5207
"Middleborough, MA" 1049 2191
"Middlefield, MA" 52 57
"Middleton, MA" 458 937
"Milford, MA" 1251 3236
"Millbury, MA" 638 1532
"Millis, MA" 677 951
"Millville, MA" 112 305
"Milton, MA" 3662 4060
"Monroe, MA" 8 9
"Monson, MA" 569 810
"Montague, MA" 956 1017
"Monterey, MA" 192 96
"Montgomery, MA" 54 68
"Mount Washington, MA" 23 32
"Nahant, MA" 433 621
"Nantucket, MA" 1395 893
"Natick, MA" 3534 4899
"Needham, MA" 3925 4255
"New Ashford, MA" 29 35
"New Bedford, MA" 4377 11241
"New Braintree, MA" 91 93
"Newbury, MA" 795 764
"Newburyport, MA" 2339 2311
"New Marlborough, MA" 185 97
"New Salem, MA" 149 112
"Newton, MA" 12101 12084
"Norfolk, MA" 767 826
"North Adams, MA" 737 1493
"Northampton, MA" 5086 3458
"North Andover, MA" 2115 2732
"North Attleborough, MA" 1370 2098
"Northborough, MA" 1227 1513
"Northbridge, MA" 720 1312
"North Brookfield, MA" 246 427
"Northfield, MA" 382 315
"North Reading, MA" 1068 1758
"Norton, MA" 925 1663
"Norwell, MA" 881 1107
"Norwood, MA" 1776 3886
"Oak Bluffs, MA" 680 518
"Oakham, MA" 142 208
"Orange, MA" 428 565
"Orleans, MA" 985 659
"Otis, MA" 112 114
"Oxford, MA" 576 1441
"Palmer, MA" 609 1350
"Paxton, MA" 364 560
"Peabody, MA" 2895 8198
"Pelham, MA" 357 194
"Pembroke, MA" 1010 1926
"Pepperell, MA" 829 1097
"Peru, MA" 51 99
"Petersham, MA" 196 118
"Phillipston, MA" 100 170
"Pittsfield, MA" 3098 5602
"Plainfield, MA" 130 61
"Plainville, MA" 430 797
"Plymouth, MA" 3465 5771
"Plympton, MA" 206 288
"Princeton, MA" 386 334
"Provincetown, MA" 488 867
"Quincy, MA" 5190 11292
"Randolph, MA" 3072 3820
"Raynham, MA" 650 1446
"Reading, MA" 2254 3171
"Rehoboth, MA" 479 722
"Revere, MA" 2138 6256
"Richmond, MA" 230 222
"Rochester, MA" 345 519
"Rockland, MA" 821 2120
"Rockport, MA" 1064 892
"Rowe, MA" 45 36
"Rowley, MA" 451 574
"Royalston, MA" 99 139
"Russell, MA" 90 121
"Rutland, MA" 507 758
"Salem, MA" 3030 5082
"Salisbury, MA" 471 1018
"Sandisfield, MA" 64 83
"Sandwich, MA" 1808 2045
"Saugus, MA" 1164 3995
"Savoy, MA" 48 93
"Scituate, MA" 1843 1988
"Seekonk, MA" 629 1195
"Sharon, MA" 1887 2821
"Sheffield, MA" 376 328
"Shelburne, MA" 363 194
"Sherborn, MA" 691 434
"Shirley, MA" 422 657
"Shrewsbury, MA" 2506 3861
"Shutesbury, MA" 473 251
"Somerset, MA" 1029 3018
"Somerville, MA" 9033 8234
"Southampton, MA" 508 576
"Southborough, MA" 1027 1039
"Southbridge, MA" 672 1791
"South Hadley, MA" 1447 2009
"Southwick, MA" 447 734
"Spencer, MA" 556 1112
"Springfield, MA" 10025 10695
"Sterling, MA" 581 696
"Stockbridge, MA" 348 260
"Stoneham, MA" 1507 3333
"Stoughton, MA" 1849 3821
"Stow, MA" 776 759
"Sturbridge, MA" 643 947
"Sudbury, MA" 2301 2001
"Sunderland, MA" 457 345
"Sutton, MA" 578 918
"Swampscott, MA" 1443 2310
"Swansea, MA" 706 2070
"Taunton, MA" 2144 6115
"Templeton, MA" 362 723
"Tewksbury, MA" 1750 3913
"Tisbury, MA" 638 480
"Tolland, MA" 39 29
"Topsfield, MA" 630 621
"Townsend, MA" 506 767
"Truro, MA" 352 340
"Tyngsborough, MA" 763 1243
"Tyringham, MA" 71 45
"Upton, MA" 549 724
"Uxbridge, MA" 703 1355
"Wakefield, MA" 1979 3697
"Wales, MA" 123 181
"Walpole, MA" 1748 2797
"Waltham, MA" 3882 5838
"Ware, MA" 458 971
"Wareham, MA" 1414 2250
"Warren, MA" 241 483
"Warwick, MA" 122 73
"Washington, MA" 78 69
"Watertown, MA" 3709 4145
"Wayland, MA" 2053 1811
"Webster, MA" 581 1484
"Wellesley, MA" 3466 2971
"Wellfleet, MA" 582 424
"Wendell, MA" 187 85
"Wenham, MA" 395 328
"Westborough, MA" 1454 1689
"West Boylston, MA" 569 823
"West Bridgewater, MA" 329 742
"West Brookfield, MA" 237 374
"Westfield, MA" 1931 3045
"Westford, MA" 2060 2287
"Westhampton, MA" 252 170
"Westminster, MA" 529 745
"West Newbury, MA" 524 430
"Weston, MA" 1529 1103
"Westport, MA" 967 2227
"West Springfield, MA" 1343 2496
"West Stockbridge, MA" 217 178
"West Tisbury, MA" 659 320
"Westwood, MA" 1469 1861
"Weymouth, MA" 3159 7437
"Whately, MA" 247 182
"Whitman, MA" 722 1636
"Wilbraham, MA" 1119 1534
"Williamsburg, MA" 475 355
"Williamstown, MA" 1229 782
"Wilmington, MA" 1263 2957
"Winchendon, MA" 379 816
"Winchester, MA" 2692 2710
"Windsor, MA" 99 115
"Winthrop, MA" 1199 2834
"Woburn, MA" 2348 5195
"Worcester, MA" 8826 15954
"Worthington, MA" 205 133
"Wrentham, MA" 706 1000
"Yarmouth, MA" 1819 2835
"Alcona, MI" NA 425
"Alger, MI" NA 305
"Allegan, MI" NA 2233
"Alpena, MI" NA 1001
"Antrim, MI" NA 584
"Arenac, MI" NA 509
"Baraga, MI" NA 281
"Barry, MI" NA 1470
"Bay, MI" NA 5466
"Benzie, MI" NA 531
"Berrien, MI" NA 3537
"Branch, MI" NA 982
"Calhoun, MI" NA 3056
"Cass, MI" NA 1431
"Charlevoix, MI" NA 585
"Cheboygan, MI" NA 794
"Chippewa, MI" NA 951
"Clare, MI" NA 851
"Clinton, MI" NA 1838
"Crawford, MI" NA 383
"Delta, MI" NA 1073
"Dickinson, MI" NA 776
"Eaton, MI" NA 2925
"Emmet, MI" NA 550
"Genesee, MI" NA 14988
"Gladwin, MI" NA 976
"Gogebic, MI" NA 485
"Grand Traverse, MI" NA 2236
"Gratiot, MI" NA 1021
"Hillsdale, MI" NA 891
"Houghton, MI" NA 788
"Huron, MI" NA 1038
"Ingham, MI" NA 8533
"Ionia, MI" NA 1222
"Iosco, MI" NA 1073
"Iron, MI" NA 541
"Isabella, MI" NA 1172
"Jackson, MI" NA 3559
"Kalamazoo, MI" NA 6478
"Kalkaska, MI" NA 440
"Kent, MI" NA 12956
"Keweenaw, MI" NA 84
"Lake, MI" NA 331
"Lapeer, MI" NA 2668
"Leelanau, MI" NA 631
"Lenawee, MI" NA 2471
"Livingston, MI" NA 4671
"Luce, MI" NA 142
"Mackinac, MI" NA 354
"Macomb, MI" NA 36047
"Manistee, MI" NA 793
"Marquette, MI" NA 1591
"Mason, MI" NA 732
"Mecosta, MI" NA 913
"Menominee, MI" NA 776
"Midland, MI" NA 1851
"Missaukee, MI" NA 384
"Monroe, MI" NA 6099
"Montcalm, MI" NA 1352
"Montmorency, MI" NA 360
"Muskegon, MI" NA 5758
"Newaygo, MI" NA 1188
"Oakland, MI" NA 44349
"Oceana, MI" NA 828
"Ogemaw, MI" NA 839
"Ontonagon, MI" NA 245
"Osceola, MI" NA 525
"Oscoda, MI" NA 257
"Otsego, MI" NA 622
"Ottawa, MI" NA 4204
"Presque Isle, MI" NA 457
"Roscommon, MI" NA 985
"Saginaw, MI" NA 5470
"Sanilac, MI" NA 1174
"Schoolcraft, MI" NA 272
"Shiawassee, MI" NA 2920
"St. Clair, MI" NA 5482
"St. Joseph, MI" NA 1121
"Tuscola, MI" NA 1759
"Van Buren, MI" NA 1683
"Washtenaw, MI" NA 12284
"Wayne, MI" NA 81850
"Wexford, MI" NA 695
"Aitkin, MN" 188 216
"Anoka, MN" 4867 3594
"Becker, MN" 260 169
"Beltrami, MN" 681 417
"Benton, MN" 452 272
"Big Stone, MN" 52 46
"Blue Earth, MN" 1259 646
"Brown, MN" 215 189
"Carlton, MN" 458 348
"Carver, MN" 1626 771
"Cass, MN" 284 207
"Chippewa, MN" 96 94
"Chisago, MN" 659 587
"Clay, MN" 1262 539
"Clearwater, MN" 55 51
"Cook, MN" 233 72
"Cottonwood, MN" 56 46
"Crow Wing, MN" 614 373
"Dakota, MN" 8514 4731
"Dodge, MN" 155 164
"Douglas, MN" 399 362
"Faribault, MN" 105 93
"Fillmore, MN" 274 213
"Freeborn, MN" 273 292
"Goodhue, MN" 714 479
"Grant, MN" 75 95
"Hennepin, MN" 62760 24533
"Houston, MN" 246 155
"Hubbard, MN" 291 211
"Isanti, MN" 370 392
"Itasca, MN" 576 456
"Jackson, MN" 47 45
"Kanabec, MN" 148 144
"Kandiyohi, MN" 448 416
"Kittson, MN" 36 25
"Koochiching, MN" 139 105
"Lac Qui Parle, MN" 86 75
"Lake, MN" 203 130
"Lake of the Woods, MN" 54 25
"Le Sueur, MN" 260 262
"Lincoln, MN" 31 18
"Lyon, MN" 323 123
"Mahnomen, MN" 53 43
"Marshall, MN" 21 21
"Martin, MN" 142 95
"McLeod, MN" 279 197
"Meeker, MN" 154 180
"Mille Lacs, MN" 212 189
"Morrison, MN" 233 157
"Mower, MN" 0 0
"Murray, MN" 45 63
"Nicollet, MN" 651 375
"Nobles, MN" 91 95
"Norman, MN" 46 33
"Olmsted, MN" 3082 1559
"Otter Tail, MN" 542 410
"Pennington, MN" 73 71
"Pine, MN" 268 268
"Pipestone, MN" 35 58
"Polk, MN" 225 201
"Pope, MN" 119 90
"Ramsey, MN" 23611 10249
"Red Lake, MN" 26 34
"Redwood, MN" 72 60
"Renville, MN" 89 96
"Rice, MN" 2073 739
"Rock, MN" 83 55
"Roseau, MN" 72 59
"Scott, MN" 1754 1058
"Sherburne, MN" 1005 694
"Sibley, MN" 85 87
"St. Louis, MN" 4361 2370
"Stearns, MN" 2740 1229
"Steele, MN" 385 305
"Stevens, MN" 387 139
"Swift, MN" 95 81
"Todd, MN" 156 156
"Traverse, MN" 25 42
"Wabasha, MN" 278 205
"Wadena, MN" 139 124
"Waseca, MN" 144 136
"Washington, MN" 5165 2759
"Watonwan, MN" 105 108
"Wilkin, MN" 27 18
"Winona, MN" 1252 471
"Wright, MN" 1399 995
"Yellow Medicine, MN" 82 52
"Adams, MS" 4529 1477
"Alcorn, MS" 1016 3588
"Amite, MS" 1719 928
"Attala, MS" 2050 1393
"Benton, MS" 658 859
"Bolivar, MS" 4987 1384
"Calhoun, MS" 1168 1439
"Carroll, MS" 1079 890
"Chickasaw, MS" 2157 1598
"Choctaw, MS" 748 621
"Claiborne, MS" 2237 479
"Clarke, MS" 1960 972
"Clay, MS" 3583 1146
"Coahoma, MS" 3402 1350
"Copiah, MS" 4002 1662
"Covington, MS" 1924 1311
"DeSoto, MS" 3669 4410
"Forrest, MS" 5552 3584
"Franklin, MS" 901 600
"George, MS" 495 1670
"Greene, MS" 711 1149
"Grenada, MS" 2243 1290
"Hancock, MS" 1255 2836
"Harrison, MS" 9762 8070
"Hinds, MS" 39599 9072
"Holmes, MS" 3777 807
"Humphreys, MS" 1795 533
"Issaquena, MS" 284 129
"Itawamba, MS" 505 2643
"Jackson, MS" 8146 6315
"Jasper, MS" 2774 1172
"Jeff Davis, MS" 2487 811
"Jefferson, MS" 2111 263
"Jones, MS" 4474 5388
"Kemper, MS" 1793 458
"Lafayette, MS" 2849 2171
"Lamar, MS" 1943 3213
"Lauderdale, MS" 6166 2250
"Lawrence, MS" 1375 1042
"Leake, MS" 2003 1134
"Lee, MS" 5062 6187
"Leflore, MS" 3475 830
"Lincoln, MS" 2856 1883
"Lowndes, MS" 6792 1996
"Madison, MS" 9810 2881
"Marion, MS" 2234 1788
"Marshall, MS" 3745 2336
"Monroe, MS" 3517 3279
"Montgomery, MS" 1348 789
"Neshoba, MS" 1412 1245
"Newton, MS" 1677 979
"Noxubee, MS" 2016 298
"Oktibbeha, MS" 4471 1588
"Panola, MS" 3566 2087
"Pearl River, MS" 1507 2750
"Perry, MS" 771 1101
"Pike, MS" 4735 1996
"Pontotoc, MS" 1218 2380
"Prentiss, MS" 943 3709
"Quitman, MS" 1335 637
"Rankin, MS" 6585 4012
"Scott, MS" 2449 1363
"Sharkey, MS" 920 313
"Simpson, MS" 2506 1428
"Smith, MS" 988 1219
"Stone, MS" 895 1301
"Sunflower, MS" 3432 1298
"Tallahatchie, MS" 1901 992
"Tate, MS" 1885 1707
"Tippah, MS" 863 2335
"Tishomingo, MS" 393 2486
"Tunica, MS" 989 445
"Union, MS" 980 2570
"Walthall, MS" 1640 913
"Warren, MS" 5402 2191
"Washington, MS" 6164 1518
"Wayne, MS" 2050 1815
"Webster, MS" 597 979
"Wilkinson, MS" 1642 351
"Winston, MS" 2393 1183
"Yalobusha, MS" 1479 1094
"Yazoo, MS" 3278 1327
"Adair, MO" 1216 1284
"Andrew, MO" 746 1067
"Atchison, MO" 262 347
"Audrain, MO" 1079 1574
"Barry, MO" 919 1976
"Barton, MO" 318 614
"Bates, MO" 676 1427
"Benton, MO" 687 1753
"Bollinger, MO" 292 970
"Boone, MO" 15725 9598
"Buchanan, MO" 4427 6689
"Butler, MO" 1074 2723
"Caldwell, MO" 379 617
"Callaway, MO" 2037 2701
"Camden, MO" 1866 2793
"Cape Girardeau, MO" 3145 4510
"Carroll, MO" 299 548
"Carter, MO" 137 541
"Cass, MO" 3995 6499
"Cedar, MO" 498 910
"Chariton, MO" 402 786
"Christian, MO" 2982 4307
"Clark, MO" 264 554
"Clay, MO" 10968 14521
"Clinton, MO" 980 1488
"Cole, MO" 4642 4089
"Cooper, MO" 782 1019
"Crawford, MO" 688 1520
"Dade, MO" 263 494
"Dallas, MO" 568 1144
"Daviess, MO" 283 534
"DeKalb, MO" 372 596
"Dent, MO" 493 962
"Douglas, MO" 454 827
"Dunklin, MO" 604 2587
"Franklin, MO" 5179 7176
"Gasconade, MO" 692 848
"Gentry, MO" 312 409
"Greene, MO" 14261 18317
"Grundy, MO" 323 485
"Harrison, MO" 249 436
"Henry, MO" 1067 2101
"Hickory, MO" 433 1056
"Holt, MO" 185 283
"Howard, MO" 660 685
"Howell, MO" 1168 2307
"Iron, MO" 406 1180
"Jackson, MO" 63058 48659
"Jasper, MO" 2775 4607
"Jefferson, MO" 10894 19065
"Johnson, MO" 2062 2548
"Knox, MO" 150 300
"LaClede, MO" 1181 2185
"Lafayette, MO" 1435 2464
"Lawrence, MO" 1155 2039
"Lewis, MO" 476 619
"Lincoln, MO" 1963 3489
"Linn, MO" 519 984
"Livingston, MO" 550 948
"Macon, MO" 615 1016
"Madison, MO" 344 971
"Maries, MO" 366 844
"Marion, MO" 1187 1586
"McDonald, MO" 403 1060
"Mercer, MO" 80 141
"Miller, MO" 713 1380
"Mississippi, MO" 499 1079
"Moniteau, MO" 538 873
"Monroe, MO" 444 590
"Montgomery, MO" 604 896
"Morgan, MO" 776 1434
"New Madrid, MO" 610 1801
"Newton, MO" 1308 2725
"Nodaway, MO" 1172 925
"Oregon, MO" 332 989
"Osage, MO" 609 874
"Ozark, MO" 332 689
"Pemiscot, MO" 466 1270
"Perry, MO" 650 1180
"Pettis, MO" 1694 2242
"Phelps, MO" 1878 2392
"Pike, MO" 766 1444
"Platte, MO" 5158 5434
"Polk, MO" 993 1904
"Pulaski, MO" 972 1385
"Putnam, MO" 120 252
"Ralls, MO" 504 823
"Randolph, MO" 938 1532
"Ray, MO" 999 2150
"Reynolds, MO" 277 741
"Ripley, MO" 282 1073
"Saline, MO" 1176 1787
"Schuyler, MO" 176 347
"Scotland, MO" 217 322
"Scott, MO" 1443 2931
"Shannon, MO" 323 914
"Shelby, MO" 299 459
"St. Charles, MO" 22355 23608
"St. Clair, MO" 357 923
"St. Francois, MO" 1993 5418
"St. Louis City, MO" 47322 18243
"St. Louis County, MO" 117108 66886
"Ste. Genevieve, MO" 1050 1922
"Stoddard, MO" 690 2235
"Stone, MO" 1204 2114
"Sullivan, MO" 172 506
"Taney, MO" 1388 2624
"Texas, MO" 743 1858
"Vernon, MO" 732 1434
"Warren, MO" 1399 1971
"Washington, MO" 668 2342
"Wayne, MO" 359 1458
"Webster, MO" 1249 2217
"Worth, MO" 105 171
"Wright, MO" 452 1143
"Congressional District 1, NE" 10041 5288
"Congressional District 2, NE" 12252 3709
"Congressional District 3, NE" 3833 3448
"Carson City, NV" 90 79
"Churchill County, NV" 50 46
"Clark County, NV" 3245 4043
"Douglas County, NV" 80 68
"Elko County, NV" 63 31
"Esmeralda County, NV" 22 9
"Eureka County, NV" 19 10
"Humboldt County, NV" 46 31
"Lander County, NV" 26 29
"Lincoln County, NV" 18 40
"Lyon County, NV" 67 74
"Mineral County, NV" 33 36
"Nye County, NV" 62 90
"Pershing County, NV" 38 33
"Storey County, NV" 30 18
"Washoe County, NV" 853 690
"White Pine County, NV" 31 28
"Acworth, NH" 118 72
"Albany, NH" 82 58
"Alexandria, NH" 121 118
"Allenstown, NH" 256 461
"Alstead, NH" 240 147
"Alton, NH" 371 362
"Amherst, NH" 1309 970
"Andover, NH" 270 192
"Antrim, NH" 272 195
"Ashland, NH" 144 168
"Atkinson, NH" 434 718
"Auburn, NH" 397 433
"Barnstead, NH" 345 332
"Barrington, NH" 659 713
"Bartlett, NH" 297 281
"Bath, NH" 60 57
"Bedford, NH" 1614 1630
"Belmont, NH" 375 570
"Bennington, NH" 119 82
"Benton, NH" 16 19
"Berlin, NH" 602 1368
"Bethlehem, NH" 232 205
"Boscawen, NH" 255 328
"Bow, NH" 810 701
"Bradford, NH" 214 106
"Brentwood, NH" 303 332
"Bridgewater, NH" 83 97
"Bristol, NH" 236 227
"Brookfield, NH" 52 60
"Brookline, NH" 370 342
"Campton, NH" 285 255
"Canaan, NH" 306 262
"Candia, NH" 274 342
"Canterbury, NH" 355 258
"Carroll, NH" 76 94
"Center Harbor, NH" 91 88
"Charlestown, NH" 377 480
"Chatham, NH" 28 15
"Chester, NH" 327 335
"Chesterfield, NH" 367 311
"Chichester, NH" 225 226
"Claremont, NH" 901 1114
"Clarksville, NH" 17 20
"Colebrook, NH" 134 115
"Columbia, NH" 39 48
"Concord, NH" 4367 3898
"Conway, NH" 885 773
"Cornish, NH" 236 149
"Croydon, NH" 69 46
"Dalton, NH" 68 61
"Danbury, NH" 93 89
"Danville, NH" 212 387
"Deerfield, NH" 353 323
"Deering, NH" 182 150
"Derry, NH" 1632 2387
"Dixville, NH" 7 0
"Dorchester, NH" 23 12
"Dover, NH" 2772 2901
"Dublin, NH" 245 133
"Dummer, NH" 20 18
"Dunbarton, NH" 234 224
"Durham, NH" 1302 806
"East Kingston, NH" 158 205
"Easton, NH" 46 24
"Eaton, NH" 79 40
"Effingham, NH" 94 124
"Ellsworth, NH" 9 8
"Enfield, NH" 395 334
"Epping, NH" 374 578
"Epsom, NH" 255 372
"Errol, NH" 27 16
"Exeter, NH" 1698 1407
"Farmington, NH" 322 559
"Fitzwilliam, NH" 154 232
"Francestown, NH" 227 110
"Franconia, NH" 199 87
"Franklin, NH" 452 777
"Freedom, NH" 128 103
"Fremont, NH" 228 310
"Gilford, NH" 668 595
"Gilmanton, NH" 284 273
"Gilsum, NH" 73 49
"Goffstown, NH" 1144 1352
"Gorham, NH" 221 330
"Goshen, NH" 68 55
"Grafton, NH" 93 99
"Grantham, NH" 433 294
"Greenfield, NH" 158 101
"Greenland, NH" 355 351
"Greenville, NH" 96 198
"Groton, NH" 33 36
"Hampstead, NH" 543 813
